candidate_id,c_0,delta_decay_power,zeta,eta_plus,eta_minus,final_mean_regret,mean_path_regret,final_regret_std,final_mean_reference_price,final_mean_price_estimate,is_default_candidate
c0_0_15_decay_0_25,0.15,0.25,0.1,0.1,0.3,15.876431602285972,10.96964847134021,10.811316879493713,1.0633005557116066,1.0820505557116067,False
c0_0_15_decay_0_25,0.15,0.25,0.1,0.1,0.45,16.79708932613562,11.663569614839412,11.584035945280847,1.0630478938121164,1.0817978938121162,False
c0_0_15_decay_0_25,0.15,0.25,0.4,0.1,0.15,15.658678734625045,10.672086123699053,10.696936509715412,1.0631250698918862,1.0818750698918864,False
c0_0_15_decay_0_25,0.15,0.25,0.4,0.1,0.3,18.820552393821767,12.799816955983546,14.073143370752138,1.0605041482097046,1.0792541482097047,False
c0_0_15_decay_0_25,0.15,0.25,0.4,0.1,0.45,20.20736324943995,13.959977187349484,14.129593062144204,1.0608411482865545,1.0795911482865548,False
c0_0_15_decay_0_3,0.15,0.3,0.02,0.1,0.15,13.915407779179986,9.639951195088951,7.774004509189491,1.0737202959381171,1.086090682601613,False
c0_0_15_decay_0_3,0.15,0.3,0.02,0.1,0.3,15.243569123160492,10.711888124937035,9.51004079423537,1.0680274001261474,1.0803977867896433,False
c0_0_15_decay_0_3,0.15,0.3,0.02,0.1,0.45,16.431637110210367,11.44206115188684,10.313857817345951,1.067198767363149,1.0795691540266446,False
c0_0_15_decay_0_3,0.15,0.3,0.1,0.1,0.15,14.15638147342294,9.785985494750886,8.253565618733559,1.073261506687499,1.085631893350995,False
c0_0_15_decay_0_3,0.15,0.3,0.1,0.1,0.3,15.918584756720335,11.124836219615737,10.520839675949537,1.067501818579053,1.0798722052425487,False
c0_0_15_decay_0_3,0.15,0.3,0.1,0.1,0.45,17.70180143198349,12.214090443709837,11.918062031464414,1.0662809777441866,1.0786513644076827,False
c0_0_15_decay_0_3,0.15,0.3,0.4,0.1,0.15,15.593370245055917,10.629265214992644,10.795472855405889,1.0703931180317154,1.082763504695211,False
c0_0_15_decay_0_3,0.15,0.3,0.4,0.1,0.3,20.80163726082014,13.828031581986544,18.05097001480877,1.062172147686851,1.0745425343503467,False
c0_0_15_decay_0_3,0.15,0.3,0.4,0.1,0.45,24.346959159665552,15.977841766823403,21.170171789908427,1.0602771921232792,1.0726475787867749,False
